year,event
1911,"Did you know that on July 24, 1911, an American League all-star squad; which included Hal Chase, Walter Johnson and Smoky Joe Wood, played the Cleveland Naps in a charity game to raise money for the widow of Addie Joss?"
1911,"Two American League pitchers tossed no-hitters in 1911. The first pitched for the Boston Red Sox and lost a no-hitter in the ninth inning during his previous start against the St. Louis Browns. The second, a future hall of famer, pitched for the Chicago White Sox and came within one walk of a perfect game. Do you know who these two twirlers were? [Answer 1 | Answer 2]"
1912,"American journalist and publisher, William Randolph Hearst began to acquire his media empire that would eventually include eighteen newspapers and nine magazines within two decades. A flamboyant and highly controversial figure, Hearst was nonetheless an extremely competent newspaperman who quickly became one of the wealthiest men in the world. His castle at San Simeon, California, won fame for its immense art collections and is still considered one of the largest houses in the United States. The property was later presented to the state as a museum after Hearst's death."
1912,"While playing the Boston Red Sox in their opener at New York's Hilltop Park, the New York Highlanders debuted their ""soon-to-be"" trademark pinstripes."
1912,"One of baseball's original cathedrals, Boston's Fenway Park, (built at a cost of $350,000) was formally dedicated as the visiting White Sox beat the Red pair 5-2 before a capacity crowd."
1912,"On August 11th, Joe Jackson of the Cleveland Indians became only the second American League player ever to steal home twice in a single game. Jackson first stole home in the first, then went on to thieve second, third and home in the seventh."
1912,"Crosley Field, the home field of the Cincinnati Reds until June 24, 1970, opened its doors to fans on May 18, 1912. Originally called Redland Field (the name changed in 1933), 20,000 fans witnessed the first game in ballpark history, a 4-3 win over the New York Giants, who started Christy Mathewson that historic day."
1912,The St. Louis Cardinals also ended the New York Giants consecutive winning streak at fourteen after a 5-1 effort on May 31st. The Giants incredible start of 43-11 remained the best of the century and stood unmatched until 1939 when the New York Yankees tied the mark.
1912,"In response to the demand for an alternative way to statistically rate pitchers, the National League elected to officially score the Earned Run Average for the first time. Jeff Tesreau of the New York Giants went on to lead the new category with a 1.96 ERA."
1912,"In an effort to eliminate the possibility of home team's ball boys influencing which ones are used for each team's turn at bat, the National League installed small boxes near home plate to supply the umpires directly."
1912,"In New York, the Giants and Highlanders met at the Polo Grounds to play an unscheduled charity game to raise money for the survivors of the Titanic (which had sunk three days earlier, April 14th). The Giants prevailed 11-2."
1912,"As a gag, Western Union telegraph operator Lou Proctor entered his name as a pinch hitter into the St. Louis Browns — Boston Red Sox box score (with no hits in one at bat). Initially, the forgery was not noticed and appeared both as a published box score in The Sporting News and in the first editions of The Baseball Encyclopedia."
1912,"""One of them (the Tigers replacement players [see fast facts]) was Joe Maharg, a name when read backwards gives the real name Graham, a gambler and preliminary fighter who later was a go-between in the Black Sox scandal."" - Historian Fred Lieb"
1912,"Did you know that on April 26, 1912, Hugh Bradley, of the Boston Red Sox, became the first player to hit a home run over the left field wall in Fenway Park?"
1912,"Ty Cobb served the first day of a suspension on May 18, 1912. The Tigers protested by striking and an entire team of replacement players took the field against the Athletics, losing 24-2. The starting lineup was: Billy Maharg (third base), Bill Leinhauser (outfielder), Dan McGarvey (outfielder), Jim McGarr (second base), Deacon McGuire (catcher), Pat Meaney (shortstop), Joe Sugden (first base), Allen Travers (pitcher), and Hap Ward (outfielder)."
1912,"On July 4, 1912, George Mullin celebrated his thirty-second birthday on Independence Day. The Tigers pitcher took the mound in Game 2 of a doubleheader and threw a 7-0 no-hitter versus the St. Louis Browns. However, did you know that Ty Cobb stole the show when he successfully stole second base, third base, and home plate during the fifth inning of Game 1 — his twenty-second steal of home plate."
1913,"The Sixteenth Amendment to the Constitution (for income tax) was adopted stating that: ""Congress shall have power to lay and collect taxes on incomes, from whatever source derived, without apportionment among the several States, and without regard to any census or enumeration."""
1913,"One of the most important exhibitions of art ever held in the United States, ""The Armory Show"" aroused the curiosity of the public and helped to change the direction of American painting. An estimated 1,600 works including paintings representing many avant-garde movements from Europe were revealed to mixed reviews. Duchamp's ""Nude Descending a Staircase"" was singled out by the hostile critics as a prime example of the ""degeneracy"" of the new art. Later, many of the same paintings would become modern masterpieces commanding millions of dollars in value."
1913,The New York Yankees became the first team to practice outside the United States after they traveled to Bermuda for spring training.
1913,"On May 14th, Walter ""The Big Train"" Johnson topped Jack Coombs with a record of fifty-six straight scoreless innings as his Washington Senators beat the St. Louis Browns 10-5 at Sportsman's Park III."
1913,The Boston Red Sox set a Major League record for frustration on July 3rd after totaling fifteen hits off the Washington Senators' Walter Johnson during a 1-0 shutout.
1913,Philadelphia Phillies ace Erskine Mayer set an unwanted National League mark on August 18th after surrendering nine consecutive hits to the Chicago Cubs (all in the ninth-inning) en route to a 10-4 loss.
1913,"In September, Pittsburgh Pirate Honus Wagner was presented with a commemorative bat carved from a piece of wood taken from naval hero Oliver Perry's flagship Niagara (which had sunk in Lake Erie one-hundred years before). Wagner had been the first player ever to have his signature scrawled on a Louisville Slugger (1905)."
1913,"American League President Ban Johnson and Detroit Tigers President Frank Navin both voiced complaints on the extensive length of the games, which were taking up to two hours to play. Both blamed several rules and regulations including the location of the ""coachers boxes"" and proposed that they be moved back so that the catcher could relay the pitcher his signals more quickly."
1913,"After ruling that a ballplayer on the field was considered a ""public person,"" a New York judge tossed out several cases (brought by both New York and Boston players) against a motion picture company that had apparently taken film of the 1912 World Series."
1913,"In December, The Sporting News reported that fifteen men (none well known) had died from various baseball-inflicted injuries during the 1913 season, according to a list compiled by J.R. Vickery of Chicago."
1913,"""How do they know what (Walter) Johnson's got? Nobody's seen it yet."" - Grantland Rice"
1913,"President Woodrow Wilson threw out the first pitch in the first game EVER played by the New York Yankees, on April 10, 1913, who were previously called the New York Highlanders."
1913,"On May 18, 1913, Ty Cobb spoiled a Walter Johnson shutout when he stole home plate for the twenty-sixth time during his career."
1913,"Did you know that Ty Cobb once took the field at second base? It was July 12, 1913, and Cobb committed three errors in five chances! The Detroit Free Press described Cobb's performance with ""the worst second baseman living or dead."""
1914,"The United States finally completed the construction of the Panama Canal. The fifty-one mile long waterway ran across the Isthmus of Panama, connecting the Atlantic (by way of the Caribbean Sea) and Pacific oceans. After the United States acquired territory in the Caribbean and in the Pacific as a result of the Spanish–American War (1899), U.S. control over a man-made canal seemed imperative. In 1912, ""The Panama Canal Act"" was passed (exempting tolls from American cargo ships engaged in coastwise trade) igniting a protest by Great Britain that was eventually repealed in 1914 through the efforts of President Woodrow Wilson."
1914,Cleveland Naps shortstop Ray Chapman stumbled his way into an unwanted record on June 20th after committing four errors in the fifth inning during a 7-1 loss to the New York Yankees at League Park II.
1914,"During the second game of an August 24th doubleheader in Washington, Detroit Tigers pitcher Hooks Dauss combined with four Senators aces to hit a record seven batters for a Major League mark that remained unmatched until the 1971 season."
1914,"In September, New York Yankees shortstop Roger Peckinpaugh replaced Frank Chance to become the club's all-time youngest skipper (twenty-three), and the seventh in its twelve-year existence. He later went on to win nine of seventeen games and eventually managed Cleveland in 1928."
1914,"On June 9th at the Baker Bowl, Pittsburgh Pirate legend Honus Wagner joined Cap Anson as the only other member of the ""3,000 Hit Club."" Wagner collected the historic double off the Philadelphia Phillies' Erskine Mayer in the ninth-inning of his two-thousand three-hundred thirty second game."
1914,"Pittsburgh and New York went head-to-head for a twenty-one innings on July 17th before Larry Doyle's two-run home run sealed a 3-1 Giants victory over the Pirates. The Forbes Field marathon set a Major League mark as the longest ""non-walk game"" in the history of organized baseball."
1914,"Brooklyn Dodgers first baseman Jake Daubert tied a Major League mark on August 15th after recording four sacrifice bunts in the second game of a doubleheader sweep against the Philadelphia Phillies (8-4, 13-5). Daubert had also placed two sacrifice bunts in the first game after an ankle injury impeded his ability to run."
1914,"1914 debuted the short-lived Federal League after John T. Powers of Chicago convinced a group of entrepreneurs that the growing popularity of baseball could support a third major league. Eight teams entered the inaugural season with clubs based in Brooklyn, Chicago, St. Louis and Pittsburgh as well as Baltimore, Kansas City, Buffalo and Indianapolis which had been the home for AAA teams. All eight cities constructed brand new ballparks including the Chicago Whales who played in what would eventually be known as Wrigley Field."
1914,"To effectively compete, the owners lured eighty-one former Major League players (eighteen of which were active) and one-hundred forty Minor League players (twenty-five of which were active) into the Federal League Baseball Company, Inc."
1914,"On May 6th, Pittsburgh Rebel Ed Lennox collected the only Federal League cycle during a 10-4 win over the Kansas City Packers."
1914,"A joint committee representing both the American and National Leagues voted that a ""runner touched or held by a coach while rounding third base was officially out"" and that ""coaches could now assist other members of their team, not just the base runners"". Pitchers were also allowed to stand on the rubber (vs. standing behind the rubber until ready to pitch) and base runners were no longer permitted to run on an infield fly. A motion to eliminate the intentional walk was also rejected along with an attempt to legalize Sunday baseball in Massachusetts."
1914,"In April, the twenty-five player limit was suspended in both the American and National Leagues. With uncertainty over who has signed with what teams, it was almost impossible to verify how many players could be on any club's roster at any one time."
1914,"On April 22nd, a nineteen year-old pitcher named Babe Ruth made his debut in the International League with a six-hit, 6-0 win for Baltimore over Buffalo. The second batter he faced was Joe McCarthy, the manager he would later play for as a New York Yankee."
1914,"""He (Ty Cobb) has assured president Navin of the Tigers that he will sign a contract for next year."" - New York Times (January 18, 1914)"
1914,"On July 11, 1914, Babe Ruth of Boston made his Major League debut and pitched a 4-3 win versus Cleveland. During his first at-bat, the mighty Ruth struck out."
1914,"* Ty Cobb played in ninety-eight games in 1914, not enough to officially qualify for the batting title, but the American League recognized him as the batting champion when the season ended. At that point in history, the other percentage leaders (OBP & SLG) were not officially recognized. MLB recognizes those who did qualify in those two categories, but continues to respect the historical decision made by the American League office for yearly batting average leader."
1914,"Did you know that when Joe Benz tossed a no-hitter on May 31, 1914, it was the second no-no in Comiskey Park, the second by a right-handed pitcher, and the second one thrown on a Sunday?"
1914,"Ray Collins of the Boston Red Sox pitched two complete-game victories on the same day versus the Detroit Tigers on September 22, 1914 (Game 1 | Game 2)."
1915,"The Superior Court in Fulton County, Georgia accepted the charter for the establishment of the new Ku Klux Klan on December 4th. The first Ku Klux Klan was an organization that thrived in the South during the Reconstruction period following the Civil War. Subsequent groups calling themselves by the same name sprang up in much of the South after both World War I and II and in response to civil-rights activity during the 1960s. In spite of its efforts, the new Klan was not strong, and by the end of the 1960s its nationwide power and membership had declined into a small, underground movement."
1915,"Ford rolled its one-millionth automobile off the Michigan assembly line, which was responsible for manufacturing half of all cars in America. To meet the growing demands of his ""Model T"" automobiles, Henry Ford had opened a large factory at Highland Park, in 1910. There, the industrial visionary invented precision building, interchangeable parts and a continuous moving assembly line that revolutionized automobile production by significantly reducing assembly time per vehicle as well as labor costs."
1915,"On May 6th, an ""up-and-coming"" pitcher for the Boston Red Sox nicknamed ""The Babe"" hit his first major league homerun off the Yankees Jack Warhop at New York's Polo Grounds."
1915,"A back-up catcher for the Philadelphia Athletics named Wally Schang set an American League record after nailing six would-be St. Louis base stealers during a 3-0 loss to the Browns on May 12, 1915."
1915,"On June 23rd, Detroit's Ty Cobb stole home (again) for the fifth time in the month en route to a 4-2 Tiger victory over the St. Louis Browns. ""The Georgia Peach"" would finish the season with ninety-six."
1915,"Making his National League debut, St. Louis Cardinals right-hander Lee Meadows became the first player to wear glasses regularly on the field. Later that season, Carmen Hill of the Pittsburgh Pirates became the second."
1915,"On August 18th, Wilbur Good became the only Chicago Cub ever to steal second, third, and home — all in the same inning. His teammates followed his ""good"" example and went on to beat the Brooklyn Dodgers 9-0."
1915,"After a lengthy contract dispute instigated by the Federal League's high salary structures, ""Home Run"" Baker announced his early retirement from the Philadelphia Athletics at the tender age of twenty-eight. Manager Connie Mack also experienced salary problems with several other players including Chief Bender, Eddie Plank, and Jack Coombs. Refusing to compete with the rival league's higher pay scale, Mack decided to release the stars and sell Baker to the Yankees after the 1915 season."
1915,"In December, organized baseball agreed to a formal ""peace treaty"" with the Federal League ending a two-year political war. The Federals agreed to disband after the American and National Leagues both agreed to pay an enormous sum of $600,000 for distribution to owners, absorb two franchises (one American League and one National League) and recognize all former players as eligible picks at a Fed-controlled auction."
1915,"The Federal League sued organized baseball, claiming it to be an illegal trust and demanding that it be dissolved with all contracts voided. The case was formally filed in the U.S. court in Chicago, before Judge Kenesaw Mountain Landis and the future baseball commissioner intentionally stalled his decision while waiting for peace to be declared at the end of the year."
1915,"The American League officially banned the emery ball, a pitch introduced by Russ Ford in 1910. Ford had accidentally discovered that a scuffed baseball could be made to break sharply while a semi-pro pitcher. He began intentionally doctoring the ball using emery paper, and disguised his pitches as spitballs, which at the time were legal."
1915,"On ""Suffrage Day"", 4,100 women bought tickets to see the Giants take on the Chicago Cubs in New York. As a publicity stunt, the suffragettes announced that they would pay five dollars to each player who scored a run. Unfortunately, ""Wildfire"" Frank Schulte emerged as the only recipient after leading a Chicago ""double-steal"" in the first inning."
1915,"""The longest home run ever witnessed at the local American League park."" - The Sporting Life (1915)"
1915,"Did you know that when Red Faber of the Chicago White Sox tossed a complete game on May 12, 1915, he did so using only sixty-seven pitches, one of the lowest known total pitch counts in baseball history?"
1915,"On August 21, 1915, the Chicago White Sox acquired Shoeless Joe Jackson from Cleveland in exchange for Larry Chappell, Ed Klepfer, Braggo Roth, and $31,500."
1915,"In 1980, Rickey Henderson became the first American League player to steal one-hundred bases during a single season. The record Henderson broke that season was previously set by Ty Cobb who (only) stole ninety-six bases in 1915 season!"
1916,"Montana voters elected thirty-six year-old Republican Jeannette Rankin as the first woman in the United States to serve in Congress. A strong proponent of peace, Rankin voted against the declaration of war on Germany in 1917 and in 1941, she cast the only vote in the House against entering WWII. A member of various antiwar organizations over the years, she led the ""Jeannette Rankin Brigade"", a peace group, to Washington to protest the Vietnam War in 1968."
1916,"Congress officially established The National Park Service as a bureau in the Department of the Interior. The system included not only the most extraordinary and spectacular scenic exhibits in the United States, but also a large number of sites distinguished either for their historic or prehistoric importance or scientific interest, or for their superior recreational assets. Today, the National Park System is made up of over three-hundred seventy-five areas covering more than eighty-three million acres in every state except Delaware."
1916,"On April 11th, the World Champion Boston Red Sox suffered an embarrassing 1-0 loss during an exhibition game against the young men from Boston College."
1916,Cleveland Indians catcher Steve O'Neill completed an amazing thirty-six double plays for a Major League season record for catchers that still stands to date.
1916,"On May 9th, the Philadelphia Athletics and Detroit Tigers combined to set a Major League record with thirty walks during a 16-2, ""Motor City"" win. Eighteen were issued by the A's, (who went on to finish the season with 715). Detroit added eleven more the following day for a two-game Major League record of twenty-nine."
1916,"The National League, which was celebrating its fortieth anniversary, voted down a proposal by the New York Giants, Boston Braves, and Chicago Cubs to increase their player limit from twenty-one to twenty-two."
1916,"On June 22nd, the Boston Braves pulled off the only National League extra-inning triple steal to beat the New York Giants 3-1 in the eleventh. In 1941, the American League would match the feat with their only recorded triple swipe."
1916,Chicago Cubs catcher Bill Fischer set a Major League record by catching all twenty-seven innings in a doubleheader loss to the Pittsburgh Pirates on June 28th.
1916,"In January, the National Association released a list of one-hundred twenty-three Federal League players with free-agent status under the terms of the new leagues ""peace agreement"". The following month, the Federal League's year-old suit charging antitrust violations by organized baseball was dismissed by mutual consent in the U.S. District Court by Judge Kenesaw M. Landis."
1916,Chicago Cubs owner Charles Weeghman became the first to officially allow fans to keep any and all balls hit into the stands. His decision followed an incident in which a fan fought with park attendants after catching a foul ball during the St. Louis Cardinals' series.
1916,"""We had one left-hander by the name of Dutch Leonard. Ever hear of him? Ol' Dutch had a peculiar ball. It wasn't a slider, it wasn't a slow curve, it was something."" - Eddie Wells"
1916,"Did you know that the Opening Day (April 12, 1916) pitcher for the Boston Red Sox was Babe Ruth? He pitched 8.1 innings, allowed one run, and won 2-1 versus the Philadelphia Athletics!"
1916,"Dutch Leonard, on August 29, 1916, allowed two runs on two hits, walked a batter, hit a batter, and threw a wild pitch before being relieved during the first inning. On August 30, 1916 (one day later) Leonard threw a 4-0 no-hitter versus the St. Louis Browns."
1916,"On September 8, 1916, Wally Schang of the Philadelphia Athletics became the first Major League player to hit home runs from both sides of the plate during the same game."
1917,"The United States officially declared war on Germany as imperial, territorial, and economic rivalries led to the ""Great War"" between the Central Powers (Austria-Hungary, Germany, Bulgaria, and Turkey) and the Allies (U.S., Britain, France, Russia, Belgium, Serbia, Greece, Romania, Montenegro, Portugal, Italy, Japan). In the end, ten million combatants were killed and over twenty million were wounded."
1917,"American painter and illustrator James Montgomery Flagg designed over forty-five patriotic posters including the ""I Want You"" edition that featured Uncle Sam and attracted thousands of recruits to register for WWI military duty. Flagg also wrote for Life Magazine and Judge, and even acted in silent films. These were so well received that during World War One he was asked to write promotional films for both the Marines and the Red Cross. After the war, it was the magazines of America that were his gallery and nearly every major publisher featured his art at one time or another."
1917,New York Yankees lefty George Mogridge tossed a 2-1 no-hitter against the Boston Red Sox on April 24th for the second of an American League record five no-hitters.
1917,American League president Ban Johnson instructed all AL umpires not to tolerate unnecessary delays. His statement was in support of a complaint by Charles Comiskey that protested some managers and players who he felt were intentionally stretching games to two hours or more.
1917,"On September 15th, the Washington Senators' Harry Harper and Walter Johnson tossed back-to-back shutouts (5-0, 4-0) during a double header against the Philadelphia Athletics."
1917,"In April, the Cincinnati Reds purchased Olympic icon Jim Thorpe from the Giants, but eventually sent him back to New York in August. Thorpe never experienced the same success on a baseball diamond that he had in the Olympics and retired after an undistinguished six-season career."
1917,"On May 26th, St. Louis Cardinals slugger Walton Cruise became the first player ever to hit a ball out of Braves Park. His four-hundred two foot blast landed in the twenty-five cent stands in right field (known as the ""Jury Box""). Amazingly, the next ball hit out of the park also came off the bat of Cruise (1921) when he returned as a Boston Brave."
1917,"Hank Gowdy of the Boston Braves became the first Major League player to enlist in the armed forces after he registered with the Ohio National Guard. During the war, Gowdy saw considerable action in France and after he returned in 1919, he shared Boston's catching duties before he was re-acquired by the New York Giants in 1923."
1917,"Organized Baseball officially terminated relations with the union, leaving the players without representation. Players Fraternity president, Dave Fultz, called off a strike in which the players were attempting to eliminate a ten-day clause, in which teams refused to pay any injured player after ten days."
1917,"America's entry into WWI combined with an unusually wet spring to postpone forty-eight National League games in the first month. As a result, half of all Major League clubs showed losses for the year and eight of twenty Minor League teams folded before the end of the season. On a side note, the American League petitioned the United States Army to assign drill sergeants to each team for daily pre-game drills."
1917,"In June, 21,000 New York fans were treated to inter-league play as the Giants and Yankees met for the first Sunday game in the ""Big Apple"" (a war charity exhibition)."
1917,"""Even then, on his biggest day in baseball, (Ernie) Shore's solid accomplishment was overshadowed by the Babe's (Ruth) personality."" - Robert W. Creamer in Babe : The Legend Comes To Life (1974)"
1917,"On June 30, 1908, Cy Young threw a no-hitter versus the New York Yankees. On June 21, 1916, Rube Foster threw a no-hitter versus the New York Yankees. On April 24, 1917, George Mogridge (a left-hander) threw the first no-hitter FOR the Yankees organization."
1917,"Babe Ruth was the starting pitcher on June 23, 1917, and threw four pitches — four called balls. The Bambino was upset with each call and visited umpire Brick Owens at the plate each time. After issuing the base on balls to Eddie Foster, Ruth punched Owens and was ejected. Ernie Shore relieved Ruth and Foster was caught stealing on a pick-off. Shore went on to retire the next twenty-six batters for a no-hit game that some experts call a perfect game. Others disagree. Share your opinion in our history forum."
1917,"Did you know that Ty Cobb displayed his power when he hit an opposite-field home run that cleared the left-field bleachers in St. Louis on June 30, 1917, a shot believed to be the longest ever hit in Sportsman's Park?"
1918,"New York suffered its worst subway accident in history after a train jumped the tracks in the Malbone Street tunnel (in Brooklyn) while traveling five times the speed limit. Ninety-two passengers were killed and over one hundred were injured. After subway motormen on the Brooklyn Rapid Transit (BRT) had gone out on strike on October 31st, many dispatchers and supervisors were pressed into service as replacement workers. On November 1st, dispatcher Antonio Luciano was assigned as the motorman on the Brighton Line that ran from Park Row over the Brooklyn Bridge. Luciano had never operated elevated trains in passenger service and had to navigate an S-shaped curve on what would later be called the Franklin Shuttle at Malbone Street. The speed limit at the location was posted at six miles per hour, but those on the scene later reported that the train roared through at nearly fifty causing the second and third cars to derail."
1918,"The American League season opened with Boston Red Sox ace Babe Ruth pitching a four-hit, 7-1 victory over the Philadelphia Athletics. Shortly after, manager Ed Barrow started Ruth's conversion to slugger by working him into seventy-two games as an outfielder-first baseman."
1918,"On April 18th, Cleveland Indian's centerfielder Tris Speaker turned an unassisted double play against the Detroit Tigers. Eleven days later, Speaker duplicated the feat against Chicago for the fourth solo-DP of his career and a franchise record that he would later share with teammate Elmer Smith."
1918,"During the 1918 season, Washington Senators ace Walter ""The Big Train"" Johnson completed nine extra-inning games; including an 18-inning contest, one that was ""only"" 17.1 innings, and three more that were 12-innings plus!"
1918,"The Pittsburgh Pirates and Boston Braves went head-to-head on August 1st for a Major League record of twenty scoreless innings. Marathon man Art Nehf went the distance for Boston, but was eventually beaten 2-0 in the twenty-first inning."
1918,Cincinnati Reds manager Christy Mathewson suspended Hal Chase indefinitely on August 9th after suspecting him of taking bribes to fix games. Chase was eventually reinstated and returned to play for the New York Giants in 1919.
1918,"On October 5th, National League infielder Eddie Grant became the first Major League player killed in wartime action while leading a mission in the Argonne Forest offensive to rescue the ""Lost Battalion"" who was trapped behind German lines. Other players killed in WWI included Alex Burr, Larry Chappell, Ralph Sharman, and Bun Troy."
1918,"Although both leagues optimistically kept the schedules at a one-hundred fifty-four game season, all owners agreed to shorten spring training by 50% in an attempt to save money."
1918,"Sunday baseball was officially legalized in Washington, D.C. on May 14th after district commissioners finally rescinded the ban in response to the large increase in the city's wartime population and the need for more recreational activities."
1918,"Secretary of War Newton D. Baker ruled that baseball was not considered an essential occupation and that all players of draft age were subject to the ""work-in-essential-industries-or-fight"" rule."
1918,"During the ""7th-inning stretch"" in Game 1 of the World Series, a military band played ""The Star Spangled Banner"" as a tribute to all servicemen on leave and in attendance. From then on, the song was played at every World Series outing and every season opener (though it was not yet adopted as the national anthem). The custom of playing it before every game began during WWII, after the installation of stadium speaker systems made it more feasible."
1918,"""No thanks."" - Eddie Plank, who won three-hundred twenty-six games, and refused to report to the Yankees prior to the 1918 season"
1918,"On June 3, 1918, Dutch Leonard tossed his second career no-hitter, a 5–0 win over the Detroit Tigers. Both Leonard gems were tossed in a Boston making Dutch the second Red Sox pitcher with two no-hitters — Cy Young was the first!"
1918,"Did you know that the Boston Red Sox have a player in their history who does not appear in a box score? On July 3, 1918, Red Bluhm pinch-hit during a game, yet did not appear in the ""official"" box scores. Four decades later, researchers found proof of his at-bat and included him in the official guides with one game & one at-bat, a single cup of coffee."
1918,"During the 1918 season, games were ""complete"" when the winning run crossed the plate during the ninth inning. Because of this rule, Babe Ruth lost a home run on July 8, 1918, when he hit a ball over the fence during the ninth inning which was credited as a triple and a run batted in."
1919,"A federal prohibition act known as the ""Volstead Act"" was passed over the veto of President Woodrow Wilson making provisions for the enforcement of the Eighteenth Amendment, which strictly forbid the manufacturing, sale, importing, or exporting of all intoxicating liquors. The act defined an intoxicating beverage as one containing more than .5% alcohol by volume and included all hard liquors and wines. It also gave federal agents the power to investigate and prosecute violations of the amendment at their own discretion."
1919,"On September 9th, three-quarters of the Boston police force voted to go on strike. Massachusetts Governor Calvin Coolidge quickly intervened to dismiss the strikers, stating that no labor dispute would be allowed to compromise public safety."
1919,"Race riots erupted in twenty-six U.S. cities during the summer including an extremely violent protest in Chicago that left thirty-eight dead, more than five-hundred injured, and many more homeless. The killing of a black teenager at the 26th Street beach sparked the conflict, but racial tension had been brewing in the ""Windy City"" for years."
1919,"In December, Colonel Jacob Ruppert purchased Babe Ruth from Boston Red Sox owner Harry Frazee. The New York Yankees owner paid a reported sum of $125,000 and guaranteed a $300,000 loan with Fenway Park as collateral for the promising pitcher / infielder (13-wins / 11-home runs)."
1919,"Chicago White Sox ace Eddie Cicotte (a member of the ""Black Sox"" scandal) beat the Philadelphia Athletics for the second time on June 14th en route to a 29-7 season and an astounding 1.82 ERA."
1919,"On June 23rd, Boston Red Sox first baseman Stuffy McInnis made his first fielding error after successfully handling five-hundred twenty-six chances."
1919,"On June 8th, the Philadelphia Phillies outsmarted the New York Giants and broke the record for most stolen bases in an inning (set by Washington in 1915) after four runners made it to first base in the ninth and each stole both second and third."
1919,"Brooklyn Dodger Ed Konetchy went five-for-five on June 29, 1919, then collected his tenth straight hit on July 1st during a 9-4 win over the Philadelphia Phillies, tying a record set by Washington's Jake Gettman in 1897."
1919,"The National League voted to ban the use of spitball's by all new pitchers. The ban was formally worked out by the Rules Committee the following February and was expanded to include the use of all foreign substances (saliva, resin, talcum powder, paraffin) as well as any other alterations (shine or emery) to balls by pitchers."
1919,"Anticipating a poor season at the gate, major league owners decided to open a reduced one-hundred forty game season. Despite the lack of close races, attendance remained high all year and every club managed to show a profit at the end of the year."
1919,"The 1919 World Series ignited the infamous ""Black Sox"" scandal after eight members of the participating White Sox including pitchers Eddie Cicotte and Claude (Lefty) Williams, outfielders Joe Jackson and Happy Felsch, first baseman Chick Gandil, shortstop Swede Risberg, third baseman Buck Weaver and reserve infielder Fred McMullin were all charged with conspiring to fix the outcome of the Fall Classic against the Cincinnati Reds. Cynics were tipped off before the Series even started when the pre-game betting odds swapped shortly before the first game. Despite the rumors, most fans and members of the press accepted the games to be true, but all that would change in 1920 as suspicions turned into confessions. To this day participants in the conspiracy have been denied entry into the Baseball Hall of Fame."
1919,"""I have pitched the best ball of my life, but I am not winning. The team (Red Sox) just doesn't win when I'm pitching, so I'm going home to Pennsylvania."" - Carl Mays (July 12, 1919)"
1919,"On April 23, 1919, Walter Johnson threw a record fifth career Opening Day shutout. President Woodrow Wilson missed this occasion, but sent Army Chief of Staff General Peyton C. March who became the first active General to throw out an Opening Day pitch."
1919,"Did you know that on May 20, 1919, Babe Ruth, who pitched seventeen games during the season for the Red Sox, hit his first career grand slam (6-4 win versus St. Louis)?"
1919,"Strange, but true — on August 24, 1919, Ray Caldwell of Cleveland was about to deliver a pitch when he was struck by lightning. Caldwell recovered and won the game 2-1 versus the Athletics."
1920,"After several decades, the Nineteenth Amendment was finally added to the Constitution granting nation-wide suffrage to women. Initiated in 1890 by the merger of the rival women's rights organizations into the National American Woman Suffrage Association (NAWSA), the feminist movement's priority was to push for the ratification of enough state suffrage amendments to force Congress to approve a federal amendment declaring women's rights. Despite some radical factions that continued to address corollary issues, NAWSA's new approach focused the group's energies exclusively on recruiting new members and winning the vote for women."
1920,"On January 5th, the New York Yankees officially announced the purchase of Babe Ruth from the Boston Red Sox. The disgruntled pitcher had been unable to reach a contract agreement and was eventually sold to Colonel Jacob Ruppert for $100,000 (plus a loan collateralized by Fenway Park). Later, his .376 batting average, fifty-four home runs and one-hundred thirty-seven runs batted in would generate an attendance of 1,289,422 fans in his first year and lead to the construction of Yankee Stadium."
1920,The Detroit Tigers lost their first thirteen games tying the Major League mark for consecutive losses (at the start of a season) set by the 1904 Washington Senators.
1920,"Tragedy struck the Cleveland Indians organization after twenty-nine year-old shortstop Ray Chapman was beaned in the head on August 16, 1920, by a Carl Mays pitch and died the following day from a fractured skull."
1920,A plan originally developed by Brooklyn Dodgers owner Charles Ebbets many years ago was finally adopted with the annual drafting of players from the Minor Leagues taking place in reverse order of each teams' final standings.
1920,"Several hours before the start of Game 4, Brooklyn Robins standout Rube Marquard (a Cleveland native), was arrested after attempting to sell a World Series ticket to an undercover police officer for $350. Marquard was later found guilty and ordered to pay a fine and court costs totaling $3.80. Adding insult to injury, his hometown opponents went on to win the game 5-1."
1920,"On December 15th, the National League revealed a startling statistic by reporting the use of 27,924 baseballs during the season, which represented an increase of 10,248 over 1919."
1920,"The Joint Rules Committee voted to ban the use of all foreign substances (saliva, resin, talcum powder, paraffin) as well as any other alterations (shine or emery) to balls by pitchers. As a result, the American League opted to allow two pitchers from each club the option to use a spitball for one more season. The Nationals set no limitations as long as all ""practicing"" pitchers were identified and any other pitcher who was caught cheating would be suspended for a minimum of ten days."
1920,Lou Gehrig (a junior at New York City's School of Commerce) was introduced to the nation after hitting a grand slam out of Wrigley Field during a high school championship game against Lane Tech on June 26th.
